2025-11-02 01:15:01,145D2,40,6000000,200,Dual Conduction,25,0.018369779
2025-11-02 01:15:03,145D2,40,6000000,200,Dual Conduction,25,0.018373382
2025-11-02 01:15:05,145D2,40,6000000,200,Dual Conduction,25,0.018374784
2025-11-02 01:15:07,145D2,40,6000000,200,Dual Conduction,25,0.018375195
2025-11-02 01:15:09,145D2,40,6000000,200,Dual Conduction,25,0.018373986
2025-11-02 01:15:11,145D2,40,6000000,200,Dual Conduction,25,0.018372705
2025-11-02 01:15:13,145D2,40,6000000,200,Dual Conduction,25,0.018377444
2025-11-02 01:15:14,145D2,40,6000000,200,Dual Conduction,25,0.018374808
2025-11-02 01:15:16,145D2,40,6000000,200,Dual Conduction,25,0.01837343
2025-11-02 01:15:18,145D2,40,6000000,200,Dual Conduction,25,0.018373648
2025-11-02 01:15:20,145D2,40,6000000,200,Dual Conduction,25,0.018370093
2025-11-02 01:15:22,145D2,40,6000000,200,Dual Conduction,25,0.018369852
2025-11-02 01:15:24,145D2,40,6000000,200,Dual Conduction,25,0.018369126
2025-11-02 01:15:25,145D2,40,6000000,200,Dual Conduction,25,0.018369537
2025-11-02 01:15:27,145D2,40,6000000,200,Dual Conduction,25,0.018368207
2025-11-02 01:15:29,145D2,40,6000000,200,Dual Conduction,25,0.018362453
2025-11-02 01:15:31,145D2,40,6000000,200,Dual Conduction,25,0.018365379
2025-11-02 01:15:33,145D2,40,6000000,200,Dual Conduction,25,0.01836579
2025-11-02 01:15:35,145D2,40,6000000,200,Dual Conduction,25,0.018364436
2025-11-02 01:15:37,145D2,40,6000000,200,Dual Conduction,25,0.018364556
2025-11-02 01:15:38,145D2,40,6000000,200,Dual Conduction,25,0.018366273
2025-11-02 01:15:40,145D2,40,6000000,200,Dual Conduction,25,0.018366007
2025-11-02 01:15:42,145D2,40,6000000,200,Dual Conduction,25,0.018369465
2025-11-02 01:15:44,145D2,40,6000000,200,Dual Conduction,25,0.018368546
2025-11-02 01:15:46,145D2,40,6000000,200,Dual Conduction,25,0.01836828
2025-11-02 01:15:48,145D2,40,6000000,200,Dual Conduction,25,0.018363106
2025-11-02 01:15:50,145D2,40,6000000,200,Dual Conduction,25,0.018358077
2025-11-02 01:15:52,145D2,40,6000000,200,Dual Conduction,25,0.018359793
2025-11-02 01:15:54,145D2,40,6000000,200,Dual Conduction,25,0.018355973
2025-11-02 01:15:55,145D2,40,6000000,200,Dual Conduction,25,0.018353338
2025-11-02 01:15:57,145D2,40,6000000,200,Dual Conduction,25,0.018350605
2025-11-02 01:15:59,145D2,40,6000000,200,Dual Conduction,25,0.018348405
2025-11-02 01:16:01,145D2,40,6000000,200,Dual Conduction,25,0.01834635

FINAL_READINGS,82.7224869,1.6078519334814,0.01834635,6600000.0,1.5989589450118,202.0
