Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-01 17:17:24,145D2,80,6000000,200,Single Conduction,25,0.026973748
2025-07-01 17:17:26,145D2,80,6000000,200,Single Conduction,25,0.026999651
2025-07-01 17:17:28,145D2,80,6000000,200,Single Conduction,25,0.02701615
2025-07-01 17:17:30,145D2,80,6000000,200,Single Conduction,25,0.027037589
2025-07-01 17:17:32,145D2,80,6000000,200,Single Conduction,25,0.027059454
2025-07-01 17:17:34,145D2,80,6000000,200,Single Conduction,25,0.027080693
2025-07-01 17:17:36,145D2,80,6000000,200,Single Conduction,25,0.027099524
2025-07-01 17:17:37,145D2,80,6000000,200,Single Conduction,25,0.027121515
2025-07-01 17:17:39,145D2,80,6000000,200,Single Conduction,25,0.027146815
2025-07-01 17:17:41,145D2,80,6000000,200,Single Conduction,25,0.0271667
2025-07-01 17:17:43,145D2,80,6000000,200,Single Conduction,25,0.027188766
2025-07-01 17:17:45,145D2,80,6000000,200,Single Conduction,25,0.027213715
2025-07-01 17:17:47,145D2,80,6000000,200,Single Conduction,25,0.027230916
2025-07-01 17:17:49,145D2,80,6000000,200,Single Conduction,25,0.027254788
2025-07-01 17:17:51,145D2,80,6000000,200,Single Conduction,25,0.027273771
2025-07-01 17:17:53,145D2,80,6000000,200,Single Conduction,25,0.027291123
2025-07-01 17:17:54,145D2,80,6000000,200,Single Conduction,25,0.027310932
2025-07-01 17:17:56,145D2,80,6000000,200,Single Conduction,25,0.027327607
2025-07-01 17:17:58,145D2,80,6000000,200,Single Conduction,25,0.027346965
2025-07-01 17:18:00,145D2,80,6000000,200,Single Conduction,25,0.027365771
2025-07-01 17:18:02,145D2,80,6000000,200,Single Conduction,25,0.027385681
2025-07-01 17:18:04,145D2,80,6000000,200,Single Conduction,25,0.027409376
2025-07-01 17:18:06,145D2,80,6000000,200,Single Conduction,25,0.027429537
2025-07-01 17:18:08,145D2,80,6000000,200,Single Conduction,25,0.027448644
2025-07-01 17:18:10,145D2,80,6000000,200,Single Conduction,25,0.027468378
2025-07-01 17:18:12,145D2,80,6000000,200,Single Conduction,25,0.027489516
2025-07-01 17:18:13,145D2,80,6000000,200,Single Conduction,25,0.027506166
2025-07-01 17:18:15,145D2,80,6000000,200,Single Conduction,25,0.027529987
2025-07-01 17:18:17,145D2,80,6000000,200,Single Conduction,25,0.027548041
2025-07-01 17:18:19,145D2,80,6000000,200,Single Conduction,25,0.027565969
2025-07-01 17:18:21,145D2,80,6000000,200,Single Conduction,25,0.027583421
2025-07-01 17:18:23,145D2,80,6000000,200,Single Conduction,25,0.027598541

FINAL_READINGS,77.2456124,1.8823529105882,0.027598541,6400000.0
