Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-10 15:18:24,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10097794
2025-07-10 15:18:26,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10103821
2025-07-10 15:18:28,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10111329
2025-07-10 15:18:30,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10115738
2025-07-10 15:18:31,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10120875
2025-07-10 15:18:33,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10126037
2025-07-10 15:18:35,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10130507
2025-07-10 15:18:37,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10134867
2025-07-10 15:18:39,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10138929
2025-07-10 15:18:41,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10147031
2025-07-10 15:18:43,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10150587
2025-07-10 15:18:45,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10155156
2025-07-10 15:18:47,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10157589
2025-07-10 15:18:48,GPI65030DFN,25,6000000,400,Single Conduction,50,0.1016038
2025-07-10 15:18:50,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10165666
2025-07-10 15:18:52,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10167592
2025-07-10 15:18:54,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10168049
2025-07-10 15:18:56,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10170457
2025-07-10 15:18:58,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10172186
2025-07-10 15:19:00,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10176162
2025-07-10 15:19:02,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10175298
2025-07-10 15:19:04,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10179744
2025-07-10 15:19:06,GPI65030DFN,25,6000000,400,Single Conduction,50,0.101823
2025-07-10 15:19:07,GPI65030DFN,25,6000000,400,Single Conduction,50,0.101833
2025-07-10 15:19:09,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10186178
2025-07-10 15:19:11,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10192093
2025-07-10 15:19:13,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10194933
2025-07-10 15:19:15,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10195291
2025-07-10 15:19:17,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10195155
2025-07-10 15:19:19,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10199947
2025-07-10 15:19:21,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10199231
2025-07-10 15:19:23,GPI65030DFN,25,6000000,400,Single Conduction,50,0.10201565

FINAL_READINGS,88.2306266,3.4798529840533,0.10201565,5700000.0,1.8100830846384
