Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-08 19:06:16,145D2,80,13000000,200,Single Conduction,50,8.46e-08
2025-07-08 19:06:18,145D2,80,13000000,200,Single Conduction,50,5.8e-08
2025-07-08 19:06:20,145D2,80,13000000,200,Single Conduction,50,1.04e-07
2025-07-08 19:06:22,145D2,80,13000000,200,Single Conduction,50,1.088e-07
2025-07-08 19:06:24,145D2,80,13000000,200,Single Conduction,50,4.59e-08
2025-07-08 19:06:26,145D2,80,13000000,200,Single Conduction,50,4.84e-08
2025-07-08 19:06:28,145D2,80,13000000,200,Single Conduction,50,6.53e-08

FINAL_READINGS,0.0232661964,0.0726636084983394,6.53e-08,13000000.0
