Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-20 18:31:40,GS66504B,80,6000000,300,Dual Conduction,50,0.037099991
2025-11-20 18:31:41,GS66504B,80,6000000,300,Dual Conduction,50,0.037086959
2025-11-20 18:31:43,GS66504B,80,6000000,300,Dual Conduction,50,0.037073491
2025-11-20 18:31:45,GS66504B,80,6000000,300,Dual Conduction,50,0.037032509
2025-11-20 18:31:47,GS66504B,80,6000000,300,Dual Conduction,50,0.036970974
2025-11-20 18:31:49,GS66504B,80,6000000,300,Dual Conduction,50,0.036903516
2025-11-20 18:31:51,GS66504B,80,6000000,300,Dual Conduction,50,0.036820559
2025-11-20 18:31:53,GS66504B,80,6000000,300,Dual Conduction,50,0.036743502
2025-11-20 18:31:55,GS66504B,80,6000000,300,Dual Conduction,50,0.036675944
2025-11-20 18:31:57,GS66504B,80,6000000,300,Dual Conduction,50,0.036653555
2025-11-20 18:31:59,GS66504B,80,6000000,300,Dual Conduction,50,0.036622945
2025-11-20 18:32:01,GS66504B,80,6000000,300,Dual Conduction,50,0.036606817
2025-11-20 18:32:02,GS66504B,80,6000000,300,Dual Conduction,50,0.036593326
2025-11-20 18:32:04,GS66504B,80,6000000,300,Dual Conduction,50,0.036571783
2025-11-20 18:32:06,GS66504B,80,6000000,300,Dual Conduction,50,0.036547725
2025-11-20 18:32:08,GS66504B,80,6000000,300,Dual Conduction,50,0.036498014
2025-11-20 18:32:10,GS66504B,80,6000000,300,Dual Conduction,50,0.036467621
2025-11-20 18:32:12,GS66504B,80,6000000,300,Dual Conduction,50,0.036450503
2025-11-20 18:32:14,GS66504B,80,6000000,300,Dual Conduction,50,0.036466146
2025-11-20 18:32:16,GS66504B,80,6000000,300,Dual Conduction,50,0.036477075
2025-11-20 18:32:18,GS66504B,80,6000000,300,Dual Conduction,50,0.036473255
2025-11-20 18:32:20,GS66504B,80,6000000,300,Dual Conduction,50,0.03644383
2025-11-20 18:32:22,GS66504B,80,6000000,300,Dual Conduction,50,0.036413075
2025-11-20 18:32:24,GS66504B,80,6000000,300,Dual Conduction,50,0.036375235
2025-11-20 18:32:26,GS66504B,80,6000000,300,Dual Conduction,50,0.036332971
2025-11-20 18:32:27,GS66504B,80,6000000,300,Dual Conduction,50,0.036304585
2025-11-20 18:32:29,GS66504B,80,6000000,300,Dual Conduction,50,0.036301853
2025-11-20 18:32:31,GS66504B,80,6000000,300,Dual Conduction,50,0.03631167
2025-11-20 18:32:33,GS66504B,80,6000000,300,Dual Conduction,50,0.036314232
2025-11-20 18:32:35,GS66504B,80,6000000,300,Dual Conduction,50,0.036315828
2025-11-20 18:32:37,GS66504B,80,6000000,300,Dual Conduction,50,0.036313169
2025-11-20 18:32:39,GS66504B,80,6000000,300,Dual Conduction,50,0.036304029

FINAL_READINGS,82.4674188,2.5900520077323623,0.036304029,6400000.0,3.6018417769366,298.0
