Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-20 18:19:58,GS66504B,40,6000000,200,Single Conduction,50,0.019383226
2025-11-20 18:20:00,GS66504B,40,6000000,200,Single Conduction,50,0.019360909
2025-11-20 18:20:02,GS66504B,40,6000000,200,Single Conduction,50,0.019343743
2025-11-20 18:20:04,GS66504B,40,6000000,200,Single Conduction,50,0.019329961
2025-11-20 18:20:06,GS66504B,40,6000000,200,Single Conduction,50,0.019317871
2025-11-20 18:20:08,GS66504B,40,6000000,200,Single Conduction,50,0.019308297
2025-11-20 18:20:10,GS66504B,40,6000000,200,Single Conduction,50,0.019300028
2025-11-20 18:20:12,GS66504B,40,6000000,200,Single Conduction,50,0.019293258
2025-11-20 18:20:14,GS66504B,40,6000000,200,Single Conduction,50,0.019290864
2025-11-20 18:20:15,GS66504B,40,6000000,200,Single Conduction,50,0.019289196
2025-11-20 18:20:17,GS66504B,40,6000000,200,Single Conduction,50,0.0192898
2025-11-20 18:20:19,GS66504B,40,6000000,200,Single Conduction,50,0.019292798
2025-11-20 18:20:21,GS66504B,40,6000000,200,Single Conduction,50,0.019297537
2025-11-20 18:20:23,GS66504B,40,6000000,200,Single Conduction,50,0.019305613
2025-11-20 18:20:25,GS66504B,40,6000000,200,Single Conduction,50,0.019314075
2025-11-20 18:20:27,GS66504B,40,6000000,200,Single Conduction,50,0.019322538
2025-11-20 18:20:28,GS66504B,40,6000000,200,Single Conduction,50,0.019331943
2025-11-20 18:20:30,GS66504B,40,6000000,200,Single Conduction,50,0.019337384
2025-11-20 18:20:32,GS66504B,40,6000000,200,Single Conduction,50,0.019343863
2025-11-20 18:20:34,GS66504B,40,6000000,200,Single Conduction,50,0.01935119
2025-11-20 18:20:36,GS66504B,40,6000000,200,Single Conduction,50,0.019360087
2025-11-20 18:20:38,GS66504B,40,6000000,200,Single Conduction,50,0.019373216
2025-11-20 18:20:40,GS66504B,40,6000000,200,Single Conduction,50,0.019387506
2025-11-20 18:20:42,GS66504B,40,6000000,200,Single Conduction,50,0.019401505
2025-11-20 18:20:44,GS66504B,40,6000000,200,Single Conduction,50,0.019411588
2025-11-20 18:20:45,GS66504B,40,6000000,200,Single Conduction,50,0.01941976
2025-11-20 18:20:47,GS66504B,40,6000000,200,Single Conduction,50,0.019429045
2025-11-20 18:20:49,GS66504B,40,6000000,200,Single Conduction,50,0.019438619
2025-11-20 18:20:51,GS66504B,40,6000000,200,Single Conduction,50,0.019447324
2025-11-20 18:20:53,GS66504B,40,6000000,200,Single Conduction,50,0.019457043
2025-11-20 18:20:55,GS66504B,40,6000000,200,Single Conduction,50,0.019467029
2025-11-20 18:20:57,GS66504B,40,6000000,200,Single Conduction,50,0.019477281

FINAL_READINGS,55.0023501,1.91613875108905,0.019477281,6000000.0,2.4771170983682,202.0
