Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-10-06 15:58:46,EPC2307,40,27000000,100,Dual Conduction,50,0.17270726
2025-10-06 15:58:48,EPC2307,40,27000000,100,Dual Conduction,50,0.17267034
2025-10-06 15:58:49,EPC2307,40,27000000,100,Dual Conduction,50,0.17265687
2025-10-06 15:58:51,EPC2307,40,27000000,100,Dual Conduction,50,0.17263526
2025-10-06 15:58:53,EPC2307,40,27000000,100,Dual Conduction,50,0.17262613
2025-10-06 15:58:55,EPC2307,40,27000000,100,Dual Conduction,50,0.17261958
2025-10-06 15:58:57,EPC2307,40,27000000,100,Dual Conduction,50,0.17261748

FINAL_READINGS,26.1774679,6.954467916383,0.17261748,27200000.0,9.1999998221526,100.0
