Timestamp,DC Current (A)
2025-06-09 13:21:32,3e-08
2025-06-09 13:21:35,-7.5e-09
2025-06-09 13:21:38,-3.25e-08
2025-06-09 13:21:40,6.74e-08
2025-06-09 13:21:43,-1.75e-08
2025-06-09 13:21:46,-1.5e-08
2025-06-09 13:21:49,2.5e-08
2025-06-09 13:21:52,-6.24e-08
2025-06-09 13:21:55,2.25e-08
2025-06-09 13:21:58,-3e-08
2025-06-09 13:22:00,-2.75e-08
2025-06-09 14:29:37,2.65004e-05
2025-06-09 14:29:40,2.59309e-05
2025-06-09 14:29:42,2.53788e-05
2025-06-09 14:34:17,0.019680103
2025-06-09 14:34:20,0.019648032
2025-06-09 14:34:23,0.019617867
2025-06-09 14:34:26,0.019609065
2025-06-09 14:34:29,0.019576669
2025-06-09 14:34:32,0.019540285
2025-06-09 14:34:35,0.019517392
2025-06-09 14:34:37,0.019537878
2025-06-09 14:34:40,0.019526243
2025-06-09 14:34:43,0.019483265
2025-06-09 14:34:46,0.019475742
2025-06-09 14:34:49,0.019485145
2025-06-09 14:34:52,0.019474664
2025-06-09 14:34:55,0.019459218
2025-06-09 14:34:57,0.019439935
2025-06-09 14:35:00,0.019447683
2025-06-09 14:35:03,0.019396255
2025-06-09 14:35:06,0.019389259
2025-06-09 14:35:09,0.019394098
2025-06-09 14:35:12,0.01936466
2025-06-09 14:35:15,0.019387203
2025-06-09 14:35:17,0.019351195
2025-06-09 14:35:20,0.019348236
2025-06-09 14:35:23,0.019356737
2025-06-09 14:35:26,0.019318397
2025-06-09 14:35:29,0.019319676
2025-06-09 14:35:32,0.019266969
2025-06-09 14:35:35,0.019225946
2025-06-09 14:35:38,0.019208168
2025-06-09 14:35:41,0.01920541
2025-06-09 14:35:44,0.019185049
2025-06-09 14:35:47,0.019153505
2025-06-09 14:35:50,0.019107066
2025-06-09 14:35:53,0.019106665
2025-06-09 14:35:56,0.019067598
2025-06-09 14:35:59,0.019035778
2025-06-09 14:36:02,0.019024946
2025-06-09 14:36:05,0.019055111
2025-06-09 14:36:08,0.018987534
2025-06-09 14:36:11,0.018987735
2025-06-09 14:36:14,0.018985628
2025-06-09 14:36:16,0.018965318
2025-06-09 14:36:19,0.018955589
2025-06-09 14:36:22,0.01894107
2025-06-09 14:36:25,0.018925424
2025-06-09 14:36:28,0.018902355
2025-06-09 14:36:31,0.018881843
2025-06-09 14:36:34,0.018864592
2025-06-09 14:36:37,0.01887234
2025-06-09 14:36:39,0.01884556
2025-06-09 14:36:42,0.018834151
2025-06-09 14:36:45,0.018785631
2025-06-09 14:36:48,0.018762412
2025-06-09 14:36:51,0.018752858
2025-06-09 14:36:54,0.018732598
2025-06-09 14:36:57,0.018702132
2025-06-09 14:37:00,0.018704464
2025-06-09 14:37:03,0.018672919
2025-06-09 14:37:06,0.018663015
2025-06-09 14:37:09,0.018652283
2025-06-09 14:37:12,0.018623697
2025-06-09 14:37:15,0.018602008
