Timestamp,DC Current (A)
2025-06-10 12:17:04,1.75e-08
2025-06-10 12:17:07,4.25e-08
2025-06-10 12:17:10,9.49e-08
2025-06-10 12:17:13,-1.5e-08
2025-06-10 12:17:16,8.24e-08
2025-06-10 12:17:18,6.99e-08
2025-06-10 12:17:21,-1.75e-08
2025-06-10 12:17:24,6.49e-08
2025-06-10 12:17:27,1e-08
2025-06-10 12:17:30,4.25e-08
